VIN,Make,Model,BodyClass,Trim
5tfbv54157x019560,toyota,tundra,pickup,sr5
jm1bk34l671745431,mazda,mazda3,hatchback,
1fdne1bw5bda64735,ford,e-150,van,
1gbdv13wx8d142776,chevrolet,uplander,cargo van,ewb
3gnda13d36s611801,chevrolet,hhr,suv,1/2 ton
salsk25467a105097,land rover,range rover sport,suv,hse spec 3
salae25407a433201,land rover,lr3,suv,v6/v8 se
2cndl937086056945,chevrolet,equinox,suv,
1gtek14t8ye181356,gmc,sierra,pickup,1500 (1/2 ton)
2a4rr4de7ar206265,chrysler,town and country,minivan,lx
1j4fy19sxxp410085,jeep,wrangler,suv,sport/tj
1fmzu73k25uc01721,ford,explorer,suv,
1j4fy29p2wp804552,jeep,wrangler,suv,se/tj
2cndl937x86074207,chevrolet,equinox,suv,
3d7mx38c97g753583,dodge,ram,pickup,3500
2ftrf17w3yca80355,ford,f-150,pickup,
4f2cz96156km35729,mazda,tribute,suv,
km8sb12b45u977144,hyundai,santa fe,suv,
1ftne1ew0ada63622,ford,e-150,cargo van,
1fmfk18507la50203,ford,expedition max,suv,
wdcyr49ex5x156571,mercedes-benz,g-class,suv,
1fmfk15567la61193,ford,expedition max,suv,
1fmpu18l8wlc11053,ford,expedition,suv,
1g1yy22g745128593,chevrolet,corvette,coupe,
3gnda23p06s593631,chevrolet,hhr,suv,1/2 ton
2b4gp2431yr797738,dodge,caravan,minivan,base
2d8hn44h88r789061,dodge,caravan,minivan,se
2a4gm68466r720652,chrysler,pacifica,suv,touring
wp0ab29986s740114,porsche,911,coupe,turbo (4wd) / gt2 (2wd)
1fmzu73k85ua36208,ford,explorer,suv,
1b3el36x64n170277,dodge,stratus,sedan,se
4a32b2ff8ce018907,mitsubishi,galant,sedan,
1d4gp24383b118738,dodge,caravan,van,
wdbrf52h67a928470,mercedes-benz,c-class,sedan,
wp0aa29926s716426,porsche,911,coupe,"carrera (2wd), carrera 4s (4wd)"
1j4fa39s56p783436,jeep,wrangler,suv,x
1g1yy22gxy5127203,chevrolet,corvette,coupe,
1g6dc67a950120822,cadillac,sts,sedan,
jf1sg69694h760441,subaru,forester,suv,2.5xt
2a4rr4dexar344396,chrysler,town and country,minivan,lx
1ftne24l2yhb61647,ford,e-250,cargo van,
jm1fe173640106363,mazda,rx-8,coupe,
3gnal3ekxfs519265,chevrolet,captiva sport,suv,
1fdne3bl5bdb21601,ford,e-350,van,
3vwf17at4em636303,volkswagen,beetle,hatchback,
2mehm75v56x637575,mercury,grand marquis,sedan,
2a8gf78406r819465,chrysler,pacifica,suv,limited
salag25416a370862,land rover,lr3,suv,v8 hse
wbakb8c50cdx20627,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1c4njdab7ed804435,jeep,compass,suv,sport
3gnec16t03g318034,chevrolet,suburban,suv,1/2 ton
2d4fv48v45h649339,dodge,magnum,suv,base/sxt
